,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,30.0,140.0,180.0,190.0,220.0,280.0,340.0,380.0,410.0,480.0,550.0,620.0,650.0,700.0,760.0,760.0
std,48.3045891539648,189.73665961010275,181.35294011647258,172.8840330651992,181.35294011647258,220.10098692292237,183.7873166945363,161.93277068654825,166.332999331662,181.35294011647258,241.522945769824,278.0887148615228,283.82310609877334,253.85910352879694,271.6206504995115,271.6206504995115
min,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0
25%,0.0,0.0,25.0,100.0,100.0,100.0,200.0,200.0,225.0,350.0,350.0,350.0,400.0,550.0,700.0,700.0
50%,0.0,50.0,100.0,100.0,200.0,300.0,350.00000000000006,450.0,500.0,550.0,550.0,700.0,700.0,750.0,850.0,850.0
75%,75.0,250.0,300.00000000000006,300.00000000000006,375.0,475.0,500.0,500.0,500.00000000000006,600.0,675.0,800.0,875.0,900.0,900.0,900.0
max,100.0,500.0,500.0,500.0,500.0,600.0,600.0,600.0,600.0,700.0,900.0,1000.0,1000.0,1000.0,1100.0,1100.0
