,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.4,25.2,32.4,34.2,39.6,50.4,68.4,75.6,81.0,93.6,106.2,126.0,131.4,136.8,136.8
std,8.694826047713661,34.1525987298185,31.521421287752876,29.93993987969916,31.521421287752872,38.698837191833036,26.563132345414388,20.43526363911168,19.44222209522358,30.357865537616444,41.09014480383344,51.61395160225576,48.78114389802683,45.851935618902715,45.851935618902715
min,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,54.0,54.0
25%,0.0,0.0,4.5,18.0,18.0,22.5,40.5,72.0,72.0,76.5,90.0,90.0,112.5,112.5,112.5
50%,0.0,9.0,27.0,27.0,36.0,45.0,72.0,72.0,90.0,90.0,90.0,126.0,126.0,135.0,135.0
75%,13.5,45.0,49.5,49.5,67.5,85.5,90.0,90.0,90.0,108.0,139.5,157.5,157.5,162.0,162.0
max,18.0,90.0,90.0,90.0,90.0,108.0,108.0,108.0,108.0,144.0,162.0,198.0,198.0,198.0,198.0
