,1,2,3,4,5,6,7,8,9,10,11,12,13,14
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,60.0,57.84000000000001,50.88000000000001,48.18000000000001,47.46000000000001,46.59000000000001,43.68,38.760000000000005,35.010000000000005,30.660000000000004,26.73,23.939999999999998,20.52,18.419999999999998
std,0.0,3.4779304190854665,10.778868215169904,9.791016290457291,9.062891370859523,8.909601562359567,12.853170815016815,9.75376850248149,10.018033739212502,13.25201871414314,10.855827927892008,7.995998999499689,10.196273829198587,11.502347586471208
min,60.0,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,23.699999999999996,23.699999999999996,23.699999999999996,8.099999999999994,8.099999999999994,8.099999999999994,6.0,-1.5000000000000053
25%,60.0,54.599999999999994,42.599999999999994,42.599999999999994,42.599999999999994,42.599999999999994,37.199999999999996,34.199999999999996,25.2,23.924999999999997,18.525,18.525,10.049999999999995,10.049999999999995
50%,60.0,60.0,56.4,46.5,46.5,43.8,43.8,39.3,34.5,30.749999999999996,26.099999999999994,26.099999999999994,23.849999999999998,19.65
75%,60.0,60.0,60.0,58.2,52.8,51.974999999999994,51.974999999999994,47.475,42.824999999999996,38.025,37.050000000000004,29.175,28.275,27.525
max,60.0,60.0,60.0,60.0,60.0,60.0,60.0,49.5,49.5,49.5,39.0,33.9,33.9,33.9
