,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,60,60.0,60.0,48.6,48.6,48.6,48.6,37.2,37.2,37.2,26.700000000000003,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004
1,60,60.0,49.5,49.5,49.5,49.5,31.8,31.8,31.8,31.8,31.8,31.8,23.1,23.1,12.600000000000001,12.600000000000001
2,60,60.0,60.0,49.5,49.5,49.5,49.5,49.5,39.0,28.5,28.5,28.5,18.0,18.0,18.0,18.0
3,60,60.0,60.0,60.0,60.0,60.0,60.0,49.5,39.0,22.5,22.5,22.5,22.5,12.9,12.9,5.7
4,60,60.0,60.0,60.0,60.0,60.0,60.0,48.6,48.6,48.6,38.1,27.6,27.6,27.6,27.6,17.1
5,60,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,24.599999999999994,24.599999999999994,24.599999999999994,24.599999999999994,14.099999999999994,14.099999999999994
6,60,52.8,45.0,45.0,45.0,45.0,45.0,45.0,28.5,28.5,28.5,19.8,12.600000000000001,12.600000000000001,12.600000000000001,12.600000000000001
7,60,52.8,52.8,52.8,52.8,44.099999999999994,44.099999999999994,44.099999999999994,44.099999999999994,27.599999999999994,27.599999999999994,27.599999999999994,27.599999999999994,16.199999999999996,16.199999999999996,16.199999999999996
8,60,60.0,60.0,60.0,52.8,52.8,52.8,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,35.99999999999999,35.99999999999999
9,60,60.0,42.3,42.3,42.3,42.3,30.9,30.9,30.9,30.9,23.099999999999998,23.099999999999998,15.299999999999997,15.299999999999997,15.299999999999997,15.299999999999997
