,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,58.5,56.157000000000004,54.789,53.751,53.04899999999999,50.985,50.391000000000005,47.46900000000001,44.973,43.53,42.417,40.361999999999995,38.295,36.38099999999999,34.914,33.948,33.219,30.660000000000004,28.380000000000003,27.018,25.8,24.918,23.928000000000004,23.490000000000002,21.426000000000002,18.84,17.643,16.725,14.241000000000003,12.165000000000003
std,10.287532908007309,9.106983950060892,8.18725086134941,7.952450984864143,7.247749765731892,6.291061118762082,6.182912744006663,7.188927365516131,4.681348452458259,4.053262060776891,4.563765623546707,4.431776167633016,5.961877500698359,4.309014968644223,3.2760586075343614,4.216132508986564,3.7136697932548257,3.3589680955118766,3.330625566866783,4.436459549385451,4.299364294094344,4.396063390504434,4.537176802080049,4.680676589269263,5.577080478769036,7.692801830282644,6.707017966279799,6.3865992515579055,4.538268024992205,5.4172425334912475
min,45.0,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,37.620000000000005,35.7,33.720000000000006,29.680000000000003,29.680000000000003,29.680000000000003,26.31999999999999,26.31999999999999,25.060000000000002,24.540000000000006,17.07999999999999,17.07999999999999,17.07999999999999,17.07999999999999,17.07999999999999,11.700000000000006,10.359999999999992,10.359999999999992,10.359999999999992,9.360000000000008,3.2199999999999926
25%,48.75,48.75,47.85,46.95,46.95,46.315,45.96,42.435,41.36999999999999,40.63,40.162499999999994,37.7775,34.215,34.065000000000005,33.720000000000006,31.560000000000002,31.39,28.8,25.375,24.849999999999994,24.180000000000003,23.564999999999998,21.240000000000002,20.250000000000007,19.215,11.325000000000003,11.325000000000003,11.325000000000003,10.900000000000002,9.765
50%,60.0,60.0,59.08,55.730000000000004,55.620000000000005,51.03,49.76,45.0,43.74,42.615,40.76,39.695,38.025,36.75,34.425,33.735,33.720000000000006,31.02,28.35,28.35,24.919999999999998,24.66,24.300000000000004,23.73,20.57,19.53,17.055000000000003,14.865000000000004,12.825000000000003,11.000000000000002
75%,67.5,62.46,60.0,59.98,58.24,55.33,53.84500000000001,51.720000000000006,47.685,46.74,46.11,44.004999999999995,42.96999999999999,38.207499999999996,37.55499999999999,37.335,34.7625,33.550000000000004,30.330000000000002,29.205000000000005,28.575000000000003,27.19,24.990000000000002,24.990000000000002,23.895000000000003,23.895000000000003,23.249999999999996,22.049999999999997,17.219999999999995,13.3875
max,70.0,64.96,63.28,63.28,60.0,60.0,60.0,60.0,53.58,49.98,49.98,47.32,47.32,43.62,40.019999999999996,40.019999999999996,40.019999999999996,35.1,33.720000000000006,33.04,33.04,33.04,33.04,33.04,33.04,33.04,28.0,28.0,23.4,23.4
