,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.4,25.2,32.4,34.2,39.6,50.4,61.2,68.4,73.8,82.8,95.4,108.0,113.4,118.8,122.4,122.4
std,8.694826047713661,34.1525987298185,31.521421287752876,29.93993987969916,31.521421287752872,38.698837191833036,29.637813684548327,25.17141235608364,24.66576574931336,30.82855818879631,36.04996532591952,45.69463863518345,43.30819783828461,41.742065114222605,37.75711853412545,37.75711853412545
min,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,36.0,36.0,36.0,36.0,36.0,54.0,54.0,54.0
25%,0.0,0.0,4.5,18.0,18.0,22.5,36.0,45.0,58.5,58.5,76.5,76.5,81.0,81.0,94.5,94.5
50%,0.0,9.0,27.0,27.0,36.0,45.0,63.0,72.0,81.0,90.0,90.0,108.0,117.0,126.0,126.0,126.0
75%,13.5,45.0,49.5,49.5,67.5,85.5,85.5,85.5,90.0,90.0,121.5,144.0,144.0,144.0,144.0,144.0
max,18.0,90.0,90.0,90.0,90.0,108.0,108.0,108.0,108.0,144.0,144.0,180.0,180.0,180.0,180.0,180.0
