,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,16.32,19.919999999999998,23.52,29.160000000000004,31.560000000000002,37.8,46.08,54.120000000000005,64.56,70.55999999999999,76.44000000000001,89.52000000000001,93.12,94.92,96.36,100.55999999999999,104.4,113.04,119.28000000000002,129.84,135.95999999999998,141.35999999999999,149.04000000000002,159.48,170.76000000000002,181.8,187.08,191.52000000000004,200.04000000000002,205.32,208.32,212.76,220.2,221.4,221.4
std,10.825155888023044,13.719475208622232,19.351072321708685,19.7346395964051,18.85566227953821,23.954957733212552,23.543661567394313,29.83930294092005,35.13994877628594,39.370242569737876,40.175813619639364,46.03025092262696,51.109920759085504,53.36800539649201,52.43525531548407,55.303670764244934,55.185505343341745,60.29474272272832,61.69136082143106,60.55159783193174,58.934675701152365,60.3106624072394,63.02710528018877,67.81492461103234,68.44571571690956,76.76926468320508,73.7876954512065,74.1785952954085,72.31055248025697,69.05174871065901,71.67526770093014,72.64830349017105,76.51457377519657,76.74425059898623,76.74425059898623
min,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,28.8,28.8,43.2,43.2,43.2,57.6,72.0,86.4,100.80000000000001,115.20000000000002,115.20000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002
25%,14.4,14.4,14.4,14.4,16.8,19.8,32.400000000000006,43.2,43.2,43.2,46.800000000000004,61.2,61.2,61.2,72.0,72.0,75.0,86.4,86.4,100.80000000000001,104.4,104.4,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,118.80000000000001,118.80000000000001,133.20000000000002,144.00000000000003,144.00000000000003,144.00000000000003,147.60000000000002,147.60000000000002,147.60000000000002
50%,16.2,19.2,19.2,26.4,32.4,36.0,48.0,48.0,60.0,72.0,72.0,84.0,84.0,84.0,84.0,90.0,97.2,108.0,114.0,120.0,120.0,132.0,138.0,150.0,168.0,174.0,180.0,186.0,198.0,204.0,210.0,210.0,222.0,222.0,222.0
75%,22.5,33.0,33.0,49.5,49.5,51.3,52.5,69.0,85.5,99.0,102.0,121.5,135.0,135.0,135.0,138.0,141.0,144.0,157.5,171.0,171.0,187.5,201.0,217.5,234.0,250.5,253.5,267.0,267.0,270.0,270.0,286.5,286.5,289.5,289.5
max,36.0,36.0,54.0,54.0,54.0,72.0,90.0,108.0,126.0,126.0,144.0,162.0,180.0,180.0,180.0,180.0,180.0,198.0,216.0,216.0,234.0,234.0,252.0,270.0,270.0,288.0,288.0,288.0,306.0,306.0,306.0,306.0,324.0,324.0,324.0
