,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,0.0,0.0,12.0,24.0,36.0,48.0,48.0,60.0,72.0,72.0,84.0,84.0,84.0,84.0,96.0,108.0,120.0,120.0,120.0,120.0,132.0,144.0,156.0,168.0,180.0,192.0,192.0,204.0,204.0,216.0,228.0,228.0,228.0,228.0
1,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,28.8,28.8,43.2,43.2,43.2,57.6,72.0,86.4,100.80000000000001,115.20000000000002,129.60000000000002,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003
2,14.4,14.4,14.4,14.4,14.4,14.4,28.8,43.2,43.2,43.2,57.6,72.0,72.0,72.0,72.0,72.0,72.0,86.4,86.4,100.80000000000001,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,129.60000000000002,129.60000000000002,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003
3,24.0,24.0,24.0,24.0,36.0,36.0,48.0,48.0,60.0,72.0,72.0,84.0,84.0,84.0,84.0,84.0,84.0,96.0,108.0,120.0,120.0,132.0,132.0,144.0,168.0,168.0,168.0,180.0,192.0,204.0,204.0,204.0,216.0,216.0,216.0
4,14.4,14.4,14.4,28.8,28.8,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,72.0,86.4,86.4,100.80000000000001,100.80000000000001,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002,129.60000000000002
5,24.0,24.0,24.0,36.0,36.0,36.0,48.0,60.0,72.0,72.0,84.0,108.0,108.0,108.0,108.0,120.0,132.0,144.0,144.0,144.0,144.0,156.0,156.0,168.0,180.0,192.0,204.0,204.0,204.0,216.0,216.0,216.0,228.0,240.0,240.0
6,36.0,36.0,36.0,54.0,54.0,54.0,54.0,72.0,90.0,108.0,108.0,126.0,144.0,144.0,144.0,144.0,144.0,144.0,162.0,180.0,180.0,198.0,216.0,234.0,252.0,288.0,288.0,288.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0
7,18.0,36.0,54.0,54.0,54.0,72.0,72.0,90.0,108.0,126.0,126.0,144.0,144.0,162.0,162.0,180.0,180.0,198.0,198.0,216.0,216.0,216.0,216.0,234.0,252.0,270.0,270.0,288.0,288.0,288.0,288.0,306.0,324.0,324.0,324.0
8,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,28.8,28.8,43.2,57.6,57.6,57.6,72.0,72.0,86.4,86.4,86.4,100.80000000000001,100.80000000000001,100.80000000000001,115.20000000000002,115.20000000000002,115.20000000000002,115.20000000000002,129.60000000000002,129.60000000000002,144.00000000000003,144.00000000000003,144.00000000000003,144.00000000000003,158.40000000000003,158.40000000000003,158.40000000000003
9,18.0,36.0,54.0,54.0,54.0,72.0,90.0,108.0,126.0,126.0,144.0,162.0,180.0,180.0,180.0,180.0,180.0,198.0,216.0,216.0,234.0,234.0,252.0,270.0,270.0,288.0,288.0,288.0,288.0,288.0,306.0,306.0,324.0,324.0,324.0
