,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,7.0,7.0,7.0,7.0,6.685,6.369999999999999,6.369999999999999,6.054999999999999,6.054999999999999,6.054999999999999,5.739999999999998,5.739999999999998,5.739999999999998,5.739999999999998,5.739999999999998,5.739999999999998,5.004999999999998,4.689999999999998,4.689999999999998,3.639999999999998,3.639999999999998,3.324999999999998,3.324999999999998,3.324999999999998,3.324999999999998,3.324999999999998,3.324999999999998,3.009999999999998,3.009999999999998,3.009999999999998,3.009999999999998,2.694999999999998,2.694999999999998,2.694999999999998,2.379999999999998,2.379999999999998
1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.4,4.800000000000001,4.800000000000001,4.500000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.9000000000000012,3.6000000000000014,3.6000000000000014,3.0000000000000013,3.0000000000000013,2.7000000000000015,2.7000000000000015
2,7.0,7.0,7.0,6.265,6.265,6.265,6.265,6.265,6.265,5.215,5.215,5.215,5.215,4.8999999999999995,4.584999999999999,4.584999999999999,4.584999999999999,4.584999999999999,4.584999999999999,4.584999999999999,4.584999999999999,3.219999999999999,3.219999999999999,3.219999999999999,2.484999999999999,2.169999999999999,2.169999999999999,2.169999999999999,2.169999999999999,2.169999999999999,1.854999999999999,1.5399999999999991,1.5399999999999991,1.5399999999999991,1.5399999999999991,1.2249999999999992
3,6.0,6.0,5.4,5.4,5.4,5.4,5.4,5.4,5.4,4.5,4.5,4.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.6,3.0,3.0,2.4,2.4,2.4,1.5,1.5,0.9,0.9,0.9,0.9,0.9,0.6000000000000001
4,4.5,4.5,4.5,4.5,4.5,4.5,4.14,4.14,3.78,3.78,3.78,3.78,3.78,3.42,3.42,3.42,3.42,3.42,3.06,3.06,3.06,3.06,2.34,2.34,2.34,2.34,2.34,1.6199999999999999,1.6199999999999999,1.6199999999999999,1.6199999999999999,1.2599999999999998,1.2599999999999998,1.2599999999999998,1.2599999999999998,0.17999999999999972
5,6.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.5999999999999996,3.5999999999999996,2.9999999999999996,2.9999999999999996,2.9999999999999996,2.9999999999999996,2.3999999999999995,2.3999999999999995,2.3999999999999995,2.0999999999999996,2.0999999999999996,1.7999999999999996,1.7999999999999996,1.7999999999999996,1.7999999999999996,1.4999999999999996,1.4999999999999996,0.8999999999999996,0.8999999999999996
6,7.0,7.0,7.0,7.0,6.265,5.529999999999999,5.529999999999999,5.529999999999999,5.529999999999999,5.529999999999999,5.529999999999999,5.529999999999999,5.529999999999999,4.794999999999999,4.794999999999999,4.794999999999999,4.794999999999999,4.794999999999999,3.744999999999999,3.744999999999999,3.4299999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,2.3799999999999994,1.6449999999999996,1.6449999999999996,1.6449999999999996,1.3299999999999996,1.3299999999999996,1.3299999999999996,1.3299999999999996,1.0149999999999997,1.0149999999999997,1.0149999999999997,1.0149999999999997
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.685,6.685,6.685,6.685,6.685,6.685,6.685,6.685,5.635,5.635,5.635,4.585,4.585,4.27,4.27,4.27,4.27,4.27,3.9549999999999996,3.9549999999999996,3.9549999999999996,3.9549999999999996,3.9549999999999996,3.9549999999999996,3.9549999999999996,3.9549999999999996,2.59,2.59,2.59
8,6.0,5.1,5.1,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.8999999999999995,3.5999999999999996,3.3,3.3,3.0,3.0,3.0,3.0,3.0,2.7,2.7,2.7,2.7,2.7,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.1000000000000005,2.1000000000000005,2.1000000000000005
9,7.0,7.0,7.0,7.0,7.0,7.0,5.95,5.95,5.215,5.215,5.215,5.215,5.215,5.215,5.215,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.8999999999999995,4.164999999999999,4.164999999999999,4.164999999999999,4.164999999999999,4.164999999999999,4.164999999999999,4.164999999999999,2.799999999999999,2.799999999999999,2.799999999999999,2.799999999999999,2.799999999999999,2.799999999999999,2.799999999999999
