,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.7,5.325000000000001,5.265,5.205,5.0760000000000005,5.013,4.885499999999999,4.689,4.531499999999999,4.310999999999999,4.187999999999999,4.054499999999999,3.7560000000000002,3.696,3.6659999999999995,3.63,3.537,3.438,3.2474999999999996,3.12,2.8844999999999996,2.7464999999999997,2.622,2.4585,2.238,1.9695000000000005,1.7505000000000002,1.6155000000000002,1.5180000000000002,1.3170000000000004,1.1820000000000004,1.1205000000000003,1.0230000000000001,0.8640000000000001,0.8325000000000002
std,1.1105554165971787,1.040993115571216,1.0245324136730214,1.023555893279242,0.9736409331302104,0.8773577757486772,0.8883519385168618,0.8266962360303003,0.8340198838556943,0.7345928577563666,0.6411370108382961,0.7051022384496203,0.6753098054473456,0.7020280146356922,0.712911869261083,0.7547736967683304,0.714019140733168,0.7274086426028576,0.7369503601555071,0.6581286601670919,0.7182867347607997,0.7718522095150931,0.6626638162245857,0.7133413161547082,0.6076375015857164,0.43977551091437406,0.4395480633559868,0.3878176117713053,0.31668596432427965,0.2948558970073332,0.2434953798329639,0.20616134458234275,0.19036806454865143,0.23496808293893784,0.2631776966234025
min,4.5,4.14,4.14,4.14,3.78,3.78,3.42,3.42,3.42,3.42,3.42,3.06,2.7,2.7,2.7,2.7,2.7,2.3400000000000003,2.3400000000000003,2.3400000000000003,1.9800000000000004,1.6200000000000006,1.6200000000000006,1.6200000000000006,1.5000000000000022,1.5000000000000022,1.2000000000000022,1.2000000000000022,1.2000000000000022,0.9000000000000007,0.9000000000000007,0.9000000000000007,0.9000000000000007,0.5400000000000007,0.4899999999999984
25%,4.5,4.2299999999999995,4.2299999999999995,4.2299999999999995,4.2299999999999995,4.2299999999999995,4.2299999999999995,4.14,4.14,3.8100000000000005,3.8100000000000005,3.4650000000000003,3.3300000000000014,3.15,3.12,3.075000000000002,3.0000000000000018,3.0000000000000018,2.700000000000002,2.4750000000000023,2.400000000000002,2.160000000000002,2.160000000000002,1.8450000000000017,1.7100000000000004,1.6200000000000006,1.530000000000002,1.30375,1.215000000000002,1.2000000000000022,0.9550000000000014,0.9000000000000021,0.900000000000001,0.6512500000000012,0.6000000000000021
50%,6.0,5.550000000000001,5.4,5.1000000000000005,5.1000000000000005,5.1000000000000005,4.800000000000001,4.65,4.350000000000001,4.17,4.0200000000000005,4.0200000000000005,3.7500000000000013,3.6000000000000014,3.5100000000000007,3.5100000000000007,3.5100000000000007,3.3724999999999987,3.214999999999999,3.155,2.850000000000001,2.700000000000002,2.5475000000000003,2.400000000000002,2.1000000000000023,1.8000000000000023,1.6200000000000006,1.5600000000000014,1.5274999999999994,1.2600000000000007,1.2000000000000022,1.1600000000000001,0.9000000000000022,0.9000000000000007,0.9000000000000007
75%,6.75,6.123749999999999,6.04875,6.04875,5.7375,5.7375,5.7375,5.50125,5.1899999999999995,4.878749999999998,4.803749999999999,4.567499999999999,4.093749999999999,4.093749999999999,4.093749999999999,4.093749999999999,4.014999999999999,4.005,3.787499999999998,3.69,3.561249999999997,3.3174999999999994,3.24,3.088749999999997,2.773749999999997,2.3012499999999974,2.143749999999997,1.8749999999999978,1.6200000000000006,1.57375,1.2600000000000007,1.2600000000000007,1.093749999999998,0.9862499999999983,0.9862499999999983
max,7.0,7.0,7.0,7.0,6.685,6.369999999999999,6.054999999999999,5.739999999999998,5.739999999999998,5.424999999999998,5.109999999999998,5.109999999999998,4.794999999999997,4.794999999999997,4.794999999999997,4.794999999999997,4.689999999999998,4.689999999999998,4.374999999999997,4.059999999999997,3.8499999999999965,3.8499999999999965,3.5349999999999966,3.429999999999997,3.114999999999997,2.7,2.3799999999999972,2.3799999999999972,2.0649999999999973,1.7499999999999973,1.644999999999997,1.4349999999999974,1.4349999999999974,1.2600000000000007,1.2600000000000007
