,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.03056666666666667,0.04696666666666667,0.05826666666666667,0.0696,0.09140000000000001,0.09840000000000002,0.13493333333333335,0.17106666666666667,0.19,0.20666666666666664,0.2303,0.2556333333333333,0.2791,0.2991,0.3083,0.31643333333333334,0.3501,0.3802666666666667,0.3802666666666667
std,0.04157398581199903,0.04592760002922475,0.039075046503609684,0.05145435469699285,0.05677044962493502,0.05491402933025359,0.04494874996545277,0.06838774707955572,0.07653112011253338,0.07899195145748539,0.061672662371188555,0.06758688052982684,0.0687850561576952,0.06923587345328652,0.0701598615508861,0.06597737172885045,0.08592259651914969,0.09791200382908707,0.09791200382908707
min,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.045,0.045,0.045,0.045,0.14400000000000002,0.14400000000000002,0.175,0.23200000000000004,0.23200000000000004,0.235,0.235,0.23999999999999996,0.23999999999999996
25%,0.0,0.0,0.038250000000000006,0.038250000000000006,0.0475,0.053750000000000006,0.11300000000000002,0.15,0.15,0.17624999999999996,0.18124999999999997,0.22624999999999998,0.23525000000000004,0.24124999999999996,0.24124999999999996,0.25375,0.29125,0.3270833333333333,0.3270833333333333
50%,0.0,0.045500000000000006,0.061500000000000006,0.061500000000000006,0.07500000000000001,0.08750000000000001,0.15333333333333332,0.1675,0.1855,0.20800000000000002,0.23333333333333334,0.25333333333333335,0.262,0.28200000000000003,0.31,0.32666666666666666,0.3446666666666667,0.353,0.353
75%,0.06175,0.08,0.08,0.08,0.142,0.147,0.16000000000000003,0.19366666666666668,0.22999999999999998,0.25666666666666665,0.263,0.291,0.32625000000000004,0.33125000000000004,0.35075,0.35075,0.3933333333333333,0.47333333333333333,0.47333333333333333
max,0.10666666666666667,0.112,0.112,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.3933333333333333,0.42666666666666664,0.42666666666666664,0.42666666666666664,0.5,0.525,0.525
