,1,2,3,4,5,6,7,8,9,10,11,12,13,14
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,30.0,140.0,180.0,190.0,220.0,280.0,340.0,380.0,410.0,460.0,530.0,600.0,630.0,630.0
std,48.3045891539648,189.73665961010275,175.11900715418264,166.332999331662,175.11900715418264,214.99353995462798,177.6388345929897,175.11900715418264,191.19507199599983,201.10804171997808,163.6391694484477,210.81851067789196,216.28170930011115,216.28170930011115
min,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0
25%,0.0,0.0,25.0,100.0,100.0,125.0,200.0,225.0,250.0,325.0,500.0,500.0,525.0,525.0
50%,0.0,50.0,150.0,150.0,200.0,250.0,300.0,400.0,450.0,450.0,500.00000000000006,600.0,600.0,600.0
75%,75.0,250.0,275.0,275.0,375.0,475.0,500.0,500.0,500.00000000000006,575.0,600.0,675.0,775.0,775.0
max,100.0,500.0,500.0,500.0,500.0,600.0,600.0,600.0,700.0,800.0,800.0,1000.0,1000.0,1000.0
