,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,45,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,24.300000000000004,24.300000000000004,14.400000000000004
1,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.05,37.8,37.8,30.15,30.15,30.15,30.15,22.5,22.5,22.5,22.5,22.5,22.5,15.3,8.100000000000001,8.100000000000001,8.100000000000001,8.100000000000001
2,70,63.28,58.24,58.24,58.24,58.24,58.24,58.24,51.1,43.96,43.96,43.96,36.82,36.82,33.04,33.04,33.04,23.799999999999997,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,14.979999999999999,10.36,1.1199999999999992
3,60,60.0,56.4,52.8,52.8,50.82,50.82,50.82,50.82,50.82,48.84,42.06,35.28,35.28,35.28,35.28,35.28,35.28,35.28,35.28,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
4,70,67.9,67.9,67.9,62.86000000000001,57.82000000000001,55.720000000000006,48.580000000000005,48.580000000000005,48.580000000000005,41.440000000000005,39.34,39.34,39.34,39.34,39.34,37.24,35.14,35.14,30.52,30.52,21.28,21.28,16.66,16.66,16.66,16.66,11.620000000000001,11.620000000000001
5,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,42.75,42.75,42.75,37.8,27.9,27.9,27.9,27.9,27.9,18.0,18.0,18.0,18.0,18.0,18.0,8.1,8.1,8.1,8.1,8.1
6,60,60.0,60.0,60.0,60.0,60.0,58.02,51.24,46.440000000000005,46.440000000000005,44.46000000000001,37.68000000000001,37.68000000000001,37.68000000000001,37.68000000000001,28.500000000000007,28.500000000000007,24.120000000000008,24.120000000000008,24.120000000000008,24.120000000000008,24.120000000000008,24.120000000000008,24.120000000000008,19.74000000000001,10.920000000000009,10.920000000000009,10.920000000000009,10.920000000000009
7,60,60.0,60.0,60.0,53.58,49.98,49.98,41.16,41.16,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,23.519999999999996,23.519999999999996,23.519999999999996,23.519999999999996,23.519999999999996,14.699999999999996,14.699999999999996,14.699999999999996,14.699999999999996,10.319999999999997,10.319999999999997,10.319999999999997
8,60,60.0,60.0,53.22,53.22,51.24,49.260000000000005,42.84,36.42,36.42,36.42,36.42,36.42,36.42,34.440000000000005,34.440000000000005,34.440000000000005,34.440000000000005,34.440000000000005,34.440000000000005,29.640000000000004,29.640000000000004,29.640000000000004,29.640000000000004,29.640000000000004,29.640000000000004,29.640000000000004,29.640000000000004,22.860000000000003
9,70,64.96,59.919999999999995,59.919999999999995,59.919999999999995,54.879999999999995,54.879999999999995,54.879999999999995,48.16,44.379999999999995,44.379999999999995,44.379999999999995,44.379999999999995,35.13999999999999,25.89999999999999,25.89999999999999,25.89999999999999,25.89999999999999,25.89999999999999,16.65999999999999,16.65999999999999,16.65999999999999,16.65999999999999,16.65999999999999,16.65999999999999,7.419999999999989,7.419999999999989,7.419999999999989,7.419999999999989
