,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,58.5,56.124,54.75599999999999,53.717999999999996,52.57199999999999,50.80800000000001,50.202,47.286,44.778000000000006,42.579,41.46900000000001,39.408,37.296,35.382,33.117,32.199,31.449,28.994999999999997,26.567999999999994,25.182000000000002,24.024,23.1,22.218,21.756,19.607999999999997,17.082,15.894,14.928,12.336
std,10.287532908007309,10.633000203768141,9.851613742597369,9.653422881720935,8.618884691961794,7.6052332859244585,7.16141792291629,6.86133806192349,5.5960021443884385,6.04226309699713,5.179679204995873,4.006799221323674,3.152759637735381,3.2544185348538086,4.198184925258379,4.091879356318644,3.6103753267492857,4.716974666033305,6.805770100926616,6.972309995020782,5.449883179176109,4.990043419984776,5.644162766374954,5.9121930505242055,7.306223830862746,9.103217746123255,8.622054666184082,8.864391688096822,7.949316113142482
min,45.0,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,32.339999999999996,32.339999999999996,32.339999999999996,32.339999999999996,27.9,25.89999999999999,25.89999999999999,25.89999999999999,23.519999999999996,17.08,16.65999999999999,16.65999999999999,16.65999999999999,14.699999999999996,14.699999999999996,8.1,7.419999999999989,7.419999999999989,7.419999999999989,1.1199999999999992
25%,48.75,48.75,47.85,46.95,46.95,46.245,46.065,43.38,42.12,38.0025,37.675000000000004,36.735,35.565,35.11,30.697499999999998,28.91250000000001,28.800000000000008,24.565000000000005,22.755,19.125,19.125,18.82,17.31,16.765,15.639999999999999,8.805000000000003,8.655000000000001,8.655000000000001,8.1
50%,60.0,60.0,59.08,55.730000000000004,53.4,51.03,50.4,46.790000000000006,45.72,44.17,43.355000000000004,39.695,37.25,35.85,33.74,32.69,31.244999999999997,28.8,25.009999999999998,23.82,23.82,23.009999999999998,21.89,20.25,16.869999999999997,15.679999999999998,12.950000000000003,10.640000000000004,10.620000000000003
75%,67.5,62.46,60.0,59.98,59.5,57.08500000000001,55.510000000000005,51.135,48.475,46.080000000000005,44.440000000000005,42.5775,37.8,37.465,35.235,34.935,34.09,33.36750000000001,33.25500000000001,30.315,29.355000000000004,27.405,27.405,27.405,26.310000000000002,25.645,22.39,21.130000000000003,13.705000000000002
max,70.0,67.9,67.9,67.9,62.86000000000001,60.0,58.24,58.24,51.1,50.82,48.84,44.379999999999995,44.379999999999995,39.34,39.34,39.34,37.24,35.28,35.28,35.28,30.52,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.700000000000003,29.640000000000004,29.640000000000004,28.5
