,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1,4.5,4.14,4.14,4.14,4.14,3.78,3.78,3.42,3.42,3.06,2.7,2.7,2.3400000000000003,2.3400000000000003,2.3400000000000003,2.3400000000000003,2.3400000000000003,2.3400000000000003
2,4.5,3.7800000000000002,3.7800000000000002,3.7800000000000002,3.4200000000000004,3.4200000000000004,3.4200000000000004,3.0600000000000005,3.0600000000000005,2.7000000000000006,2.3400000000000007,2.3400000000000007,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009
3,7.0,6.685,6.685,6.685,6.685,6.369999999999999,6.054999999999999,5.739999999999998,5.424999999999998,5.109999999999998,4.794999999999997,4.794999999999997,4.479999999999997,4.1649999999999965,4.1649999999999965,4.1649999999999965,3.8499999999999965,3.5349999999999966
4,4.5,3.7800000000000002,3.7800000000000002,3.7800000000000002,3.4200000000000004,3.4200000000000004,3.4200000000000004,3.4200000000000004,3.0600000000000005,2.7000000000000006,2.3400000000000007,2.3400000000000007,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009,1.9800000000000009
5,7.0,6.265,6.265,6.265,5.949999999999999,5.949999999999999,5.949999999999999,5.949999999999999,5.634999999999999,5.3199999999999985,5.3199999999999985,5.004999999999998,4.689999999999998,4.689999999999998,4.689999999999998,4.374999999999997,4.059999999999997,4.059999999999997
6,6.0,5.7,5.7,5.7,5.4,5.4,5.1000000000000005,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.500000000000001,4.200000000000001,3.9000000000000012,3.6000000000000014,3.6000000000000014,3.6000000000000014,3.3000000000000016
7,6.0,5.7,5.4,5.1000000000000005,5.1000000000000005,5.1000000000000005,4.800000000000001,4.500000000000001,4.200000000000001,3.9000000000000012,3.9000000000000012,3.6000000000000014,3.3000000000000016,3.3000000000000016,3.3000000000000016,3.3000000000000016,3.3000000000000016,3.3000000000000016
8,4.5,4.14,3.78,3.42,3.42,3.42,3.06,2.7,2.3400000000000003,1.9800000000000004,1.9800000000000004,1.6200000000000006,0.9000000000000006,0.9000000000000006,0.9000000000000006,0.9000000000000006,0.5400000000000006,0.1800000000000006
9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
