,0
0,0.8
1,0.9
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.7
8,0.7
9,0.8
10,0.9
11,0.7
12,0.7
13,0.9
14,0.8
15,0.8
16,0.7
17,0.7
18,0.7
19,0.8
20,0.6
21,0.7
22,0.8
23,0.7
24,0.6
25,0.9
26,0.8
27,0.7
28,0.8
29,0.7
30,0.7
31,0.7
32,0.8
33,0.7
34,0.7
