,1,2,3,4,5,6,7,8,9,10,11,12,13,14
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,30.0,140.0,180.0,190.0,220.0,280.0,360.0,400.0,430.0,480.0,550.0,620.0,650.0,650.0
std,48.3045891539648,189.73665961010275,181.35294011647258,172.8840330651992,181.35294011647258,220.10098692292237,177.6388345929897,176.38342073763937,182.87822299126938,187.3795909674026,143.37208778404377,181.35294011647258,184.08935028645436,184.08935028645436
min,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,200.0,300.0,400.0,400.0,400.0
25%,0.0,0.0,25.0,100.0,100.0,100.0,225.0,250.0,325.0,325.0,500.0,525.0,600.0,600.0
50%,0.0,50.0,100.0,100.0,200.0,300.0,400.0,450.0,500.0,500.0,550.0,600.0,600.0,600.0
75%,75.0,250.0,300.00000000000006,300.00000000000006,375.0,475.0,500.0,500.00000000000006,500.00000000000006,575.0,600.0,675.0,775.0,775.0
max,100.0,500.0,500.0,500.0,500.0,600.0,600.0,600.0,700.0,800.0,800.0,1000.0,1000.0,1000.0
