,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,15.84,19.080000000000002,22.32,28.2,30.839999999999996,37.08,46.2,53.279999999999994,63.24000000000001,68.75999999999999,75.0,88.2,91.2,93.0,94.2,98.04,102.47999999999999,102.47999999999999
std,10.179194467147193,12.45086342387547,17.354653554594513,19.736261044078233,18.260777639520175,23.14787247243254,29.389794146948358,33.88073198737005,39.01199815441398,40.42988993306808,44.98266332710859,52.60950484465711,53.94219127918331,55.509999099261385,55.42346073640657,57.54455664960849,61.644659136051686,61.644659136051686
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,12.6,12.6,12.6,12.6,25.2,30.6,37.8,44.400000000000006,58.2,63.0,72.0,84.6,84.6,84.6,88.80000000000001,90.00000000000001,90.00000000000001,90.00000000000001
50%,16.2,21.0,21.0,36.0,36.0,39.6,45.6,57.6,72.0,78.0,85.2,98.4,100.80000000000001,100.80000000000001,100.80000000000001,104.4,104.4,104.4
75%,22.5,28.8,28.8,43.2,43.2,51.3,68.4,69.0,72.0,86.4,89.1,106.2,121.5,135.0,135.0,138.0,154.5,154.5
max,28.8,36.0,54.0,54.0,54.0,72.0,90.0,108.0,126.0,126.0,144.0,162.0,162.0,162.0,162.0,162.0,172.80000000000004,172.80000000000004
