,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.55,0.8800000000000001,1.1400000000000001,1.31,1.8099999999999998,1.9599999999999997,2.6799999999999997,3.29,3.6399999999999997,3.91,4.41,4.91,5.3500000000000005,5.700000000000001,5.930000000000001,6.1000000000000005,6.7,7.25,7.58,7.869999999999999,8.09,8.309999999999999,8.419999999999998,8.91,9.510000000000002,9.79,10.02,10.629999999999999,11.129999999999999,11.129999999999999
std,0.7261006970263989,1.0768266135063507,1.0803291679442477,1.1483805021759026,1.6835478411180758,1.7030691249753909,2.3522093633197043,2.406680517042324,2.4203764629127886,2.500866516496499,2.669352813781731,3.0464733709651886,2.8249877089211477,2.77648858972784,3.0764517801447098,3.0940803695659445,2.8713140623144033,2.75529792702471,3.0860978597575284,2.9571194692733593,3.024143588595694,2.726597391133009,2.774807300616667,2.833313725422348,3.161732998777024,3.0094111642571466,3.035274104407852,3.1721181146567248,3.6135701029437475,3.6135701029437475
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,2.0,2.2,3.6,3.6,3.6,3.6,3.8000000000000003,3.8000000000000003,4.8,4.8,4.8,4.8,4.8,4.8,4.8
25%,0.0,0.0,0.0,0.125,0.25,0.275,0.275,1.225,1.4500000000000002,1.4500000000000002,2.025,2.225,2.675,3.125,3.125,3.125,4.3500000000000005,4.5,4.675000000000001,5.525,5.8,6.550000000000001,6.550000000000001,6.550000000000001,7.9,7.95,7.95,8.325,8.325,8.325
50%,0.0,0.45,1.35,1.4,1.6500000000000001,2.1,3.0,4.4,4.65,5.15,5.5,5.75,6.3500000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.9,8.05,8.25,8.8,8.850000000000001,8.850000000000001,8.9,8.9,8.9,9.65,10.25,11.700000000000001,12.25,12.25
75%,1.1749999999999998,1.475,1.7750000000000001,2.25,2.675,2.8,4.300000000000001,4.800000000000001,5.325000000000001,5.6,6.4750000000000005,6.825,7.2,7.525,7.525,8.425,8.425,8.875,8.875,8.975,9.675,9.675,9.975000000000001,11.35,11.575000000000001,11.575000000000001,11.850000000000001,12.575,13.675,13.675
max,1.6,2.8,2.8,2.8,4.699999999999999,4.699999999999999,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.8999999999999995,7.3,9.6,9.6,9.6,10.399999999999999,10.399999999999999,10.7,10.7,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,14.199999999999998,14.199999999999998,14.199999999999998,14.199999999999998,15.899999999999997,15.899999999999997
