,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.6,1.6,2.5,2.5,2.5,3.6,3.6,3.6,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,5.4,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005
2,1.6,2.8,2.8,2.8,4.0,4.0,4.0,5.1,5.1,5.6,7.3,9.6,9.6,9.6,9.6,9.6,10.7,10.7,10.7,10.7,10.7,10.7,10.7,11.799999999999999,14.0,14.0,14.0,14.0,14.0,14.0
3,0.0,0.9,1.8,1.8,2.3,2.8,4.4,4.4,5.6000000000000005,5.6000000000000005,5.6000000000000005,7.300000000000001,7.300000000000001,7.300000000000001,7.300000000000001,7.300000000000001,7.300000000000001,7.300000000000001,7.300000000000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.3,12.4,12.4
4,1.6,1.6,1.6,2.8,2.8,2.8,2.8,4.5,5.4,5.4,5.4,5.4,7.6000000000000005,7.6000000000000005,7.6000000000000005,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.0,10.0,12.2,14.399999999999999,14.399999999999999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,1.5,1.5,1.5,2.0,3.6,3.6,3.6,3.6,3.6,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,6.9,6.9,6.9,6.9,6.9
6,0.0,0.0,0.0,0.5,1.0,1.5,3.2,4.9,4.9,4.9,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,8.9,8.9,8.9,8.9,8.9,10.0,10.0,10.0,10.0,11.1,12.7,12.7,12.7
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.5,2.5,3.6,4.1,4.1,5.0,5.0,5.0,7.2,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,9.3,10.5,10.5,10.5,10.5
8,0.0,0.0,1.7,1.7,2.2,2.7,4.4,4.4,4.4,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,7.700000000000001,7.700000000000001,9.900000000000002,9.900000000000002,9.900000000000002,12.100000000000001,12.100000000000001,12.100000000000001,12.100000000000001,12.100000000000001,12.100000000000001,12.100000000000001
9,1.2,2.4,2.4,2.4,4.699999999999999,4.699999999999999,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.8999999999999995,8.1,10.399999999999999,10.399999999999999,10.399999999999999,10.399999999999999,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,14.199999999999998,14.199999999999998,14.199999999999998,14.199999999999998,15.899999999999997,15.899999999999997
