,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.0231,0.0387,0.05603333333333334,0.06416666666666666,0.08816666666666666,0.09816666666666667,0.14029999999999998,0.17350000000000002,0.19360000000000002,0.20943333333333336,0.23739999999999997,0.2637666666666667,0.28356666666666663,0.30219999999999997,0.3114,0.3187,0.35126666666666667,0.3852666666666667,0.40140000000000003,0.4187333333333333,0.43339999999999995,0.4444000000000001,0.4517333333333333,0.4788,0.5049999999999999,0.5186333333333334,0.5339666666666666,0.5687666666666666,0.5917000000000001,0.5917000000000001
std,0.030156812386811272,0.04410102039635817,0.05241723635090529,0.05218657175562444,0.07321661587034854,0.07985438135896002,0.12387453329881813,0.12577417054112758,0.1304690304295796,0.14108871650818122,0.1524299312819411,0.1690226115343049,0.1515130316686723,0.14911038251188113,0.15338186027600653,0.14966616761444473,0.1404776507860605,0.15755303241985333,0.1657850609064432,0.1678495652160287,0.1827781357645937,0.16859307426866033,0.17716789832678734,0.1891921226141809,0.18114185151524304,0.1722398879828528,0.1868915609532853,0.20696335036682637,0.21363037479964556,0.21363037479964556
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.1,0.11000000000000001,0.18,0.18,0.18,0.18,0.19,0.19,0.24,0.24,0.24,0.24,0.24,0.24,0.24
25%,0.0,0.0,0.0,0.008333333333333333,0.013750000000000002,0.013750000000000002,0.013750000000000002,0.06791666666666668,0.08291666666666668,0.08291666666666668,0.11025000000000001,0.11400000000000002,0.15083333333333337,0.16975,0.16975,0.17708333333333334,0.223,0.2305,0.2305,0.268,0.268,0.3055,0.3055,0.3055,0.359,0.385,0.385,0.40700000000000003,0.42500000000000004,0.42500000000000004
50%,0.0,0.027500000000000004,0.059500000000000004,0.07550000000000001,0.08933333333333333,0.10600000000000001,0.136,0.192,0.21000000000000002,0.22,0.258,0.2746666666666667,0.29000000000000004,0.32866666666666666,0.3586666666666667,0.368,0.42200000000000004,0.42200000000000004,0.45733333333333337,0.46599999999999997,0.46599999999999997,0.46599999999999997,0.46599999999999997,0.488,0.5640000000000001,0.5640000000000001,0.5640000000000001,0.5640000000000001,0.6060000000000001,0.6060000000000001
75%,0.053250000000000006,0.063,0.10800000000000001,0.112,0.15166666666666667,0.17500000000000002,0.26033333333333336,0.28900000000000003,0.28900000000000003,0.314,0.35300000000000004,0.401,0.401,0.42600000000000005,0.43400000000000005,0.43400000000000005,0.44,0.475,0.511,0.5683333333333334,0.5916666666666666,0.5916666666666666,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.615,0.6749999999999999,0.74,0.78,0.78
max,0.064,0.112,0.12000000000000001,0.12000000000000001,0.188,0.188,0.29333333333333333,0.32666666666666666,0.37333333333333335,0.4066666666666667,0.44,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.5933333333333333,0.5933333333333333,0.6,0.6599999999999999,0.6599999999999999,0.6666666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8466666666666667,0.8466666666666667,0.8466666666666667
