,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.08000000000000002,0.08000000000000002,0.125,0.125,0.125,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.19,0.19,0.19,0.19,0.19,0.19,0.27,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
2,0.064,0.112,0.112,0.112,0.16,0.18,0.248,0.248,0.248,0.316,0.316,0.316,0.316,0.352,0.352,0.352,0.39599999999999996,0.39599999999999996,0.39599999999999996,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.44399999999999995,0.49199999999999994,0.58,0.58
3,0.0,0.060000000000000005,0.12000000000000001,0.12000000000000001,0.15333333333333335,0.18666666666666668,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.6,0.6,0.6,0.6,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.7599999999999999,0.9066666666666665,0.9066666666666665
4,0.064,0.064,0.064,0.112,0.112,0.112,0.112,0.18,0.216,0.216,0.216,0.216,0.304,0.304,0.304,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.39999999999999997,0.39999999999999997,0.488,0.58,0.58,0.58,0.58,0.58
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.07500000000000001,0.1,0.1,0.125,0.125,0.125,0.125,0.125,0.18,0.18,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
6,0.0,0.0,0.0,0.03333333333333333,0.09333333333333334,0.09333333333333334,0.24666666666666665,0.36,0.36,0.36,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.42666666666666664,0.5333333333333333,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.6733333333333333,0.7466666666666667,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.16666666666666669,0.16666666666666669,0.32,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.7,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.9533333333333334,0.9533333333333334
8,0.0,0.0,0.11333333333333333,0.11333333333333333,0.14666666666666667,0.18,0.2866666666666667,0.2866666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.52,0.52,0.52,0.52,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7733333333333334,0.7733333333333334,0.7733333333333334,0.7733333333333334,0.8066666666666668,0.8066666666666668,0.8066666666666668,0.8066666666666668,0.8066666666666668
9,0.048,0.096,0.096,0.096,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.18800000000000003,0.18800000000000003,0.20800000000000002,0.276,0.368,0.368,0.368,0.368,0.368,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.45599999999999996,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999,0.5439999999999999
