,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.55,0.8800000000000001,1.1400000000000001,1.31,1.7399999999999998,1.89,2.6100000000000003,3.22,3.5700000000000003,3.8400000000000007,4.34,4.840000000000001,5.279999999999999,5.63,5.860000000000001,6.030000000000001,6.63,7.18,7.51,7.8,8.02,8.239999999999998,8.35,8.84,9.44,9.719999999999999,9.95,10.559999999999999,11.059999999999999,11.059999999999999,11.299999999999999,11.899999999999999,11.899999999999999
std,0.7261006970263989,1.0768266135063507,1.0803291679442477,1.1483805021759026,1.4841383583300671,1.620322327330104,2.2077892411490128,2.3064161713696762,2.326680993270123,2.5469807834200697,2.6192450142062778,2.89029025839582,2.6686659172286396,2.557798532592693,2.646675062958974,2.7620644453017387,2.8597008390544785,2.7173516518846066,2.6635189755910003,2.781686139336675,2.483635328393531,2.2426175182882457,2.2510491381180953,1.8355743878506618,2.0764285577778865,1.9423925681717604,1.9772315100777758,2.1167060363792705,2.506081491979948,2.506081491979948,2.513519002867847,2.883285163374121,2.883285163374121
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.2,2.2,2.2,2.2,2.5,3.6,3.6,3.8000000000000003,3.8000000000000003,3.8000000000000003,5.4,6.9,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005
25%,0.0,0.0,0.0,0.125,0.275,0.275,0.275,1.225,1.4500000000000002,1.4500000000000002,2.225,2.6,2.75,3.25,3.2750000000000004,3.2750000000000004,4.925000000000001,5.15,5.15,5.5,6.325000000000001,7.15,7.2250000000000005,8.05,8.05,8.05,8.05,8.55,8.55,8.55,8.85,9.025,9.025
50%,0.0,0.45,1.35,1.4,1.8,2.05,3.1999999999999997,4.3500000000000005,4.55,4.8,5.1,5.450000000000001,5.7,5.75,6.199999999999999,6.449999999999999,7.15,7.8500000000000005,8.350000000000001,8.5,8.5,8.5,8.9,8.9,8.9,9.5,10.1,10.8,11.6,11.6,12.2,13.2,13.2
75%,1.1749999999999998,1.475,1.7750000000000001,2.25,2.675,2.8,4.15,4.6499999999999995,5.4,5.4,5.8,6.35,7.325,7.325,7.750000000000001,8.55,8.600000000000001,9.399999999999999,9.825000000000001,9.9,9.9,9.9,9.9,9.9,10.725,10.85,11.174999999999999,12.049999999999999,12.774999999999999,12.774999999999999,12.774999999999999,14.125,14.125
max,1.6,2.8,2.8,2.8,4.0,4.5,6.2,6.2,6.2,7.9,7.9,9.2,9.2,9.2,9.2,9.2,10.299999999999999,10.299999999999999,10.299999999999999,11.1,11.1,11.1,11.1,11.399999999999999,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,14.5,14.5,14.5,14.5,14.5
