,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.6,1.6,2.5,2.5,2.5,4.7,4.7,4.7,4.7,4.7,6.9,6.9,6.9,6.9,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,5.4,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005
2,1.6,2.8,2.8,2.8,4.0,4.5,6.2,6.2,6.2,7.9,7.9,7.9,7.9,8.8,8.8,8.8,9.9,9.9,9.9,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,12.299999999999999,14.5,14.5
3,0.0,0.9,1.8,1.8,2.3,2.8,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,7.9,7.9,7.9,7.9,7.9,9.0,9.0,9.0,9.0,10.2,10.2,10.2,10.2,11.399999999999999,13.599999999999998,13.599999999999998
4,1.6,1.6,1.6,2.8,2.8,2.8,2.8,4.5,5.4,5.4,5.4,5.4,7.6000000000000005,7.6000000000000005,7.6000000000000005,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.0,10.0,12.2,14.5,14.5,14.5,14.5,14.5
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,2.0,2.0,2.5,2.5,2.5,2.5,2.5,3.6,3.6,5.800000000000001,5.800000000000001,5.800000000000001,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
6,0.0,0.0,0.0,0.5,1.4,1.4,3.6999999999999997,5.3999999999999995,5.3999999999999995,5.3999999999999995,5.8999999999999995,5.8999999999999995,5.8999999999999995,5.8999999999999995,5.8999999999999995,6.3999999999999995,8.0,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,10.1,11.2,12.799999999999999,12.799999999999999,12.799999999999999,12.799999999999999,12.799999999999999,12.799999999999999
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.5,2.5,4.8,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,10.5,12.7,12.7,12.7,14.299999999999999,14.299999999999999
8,0.0,0.0,1.7,1.7,2.2,2.7,4.300000000000001,4.300000000000001,5.500000000000001,5.500000000000001,5.500000000000001,5.500000000000001,5.500000000000001,5.500000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,10.0,10.0,10.0,10.0,10.0,10.0,11.6,11.6,11.6,11.6,12.1,12.1,12.1,12.1,12.1
9,1.2,2.4,2.4,2.4,3.5999999999999996,3.5999999999999996,3.5999999999999996,4.699999999999999,4.699999999999999,5.199999999999999,6.8999999999999995,9.2,9.2,9.2,9.2,9.2,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,11.399999999999999,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998,13.599999999999998
