,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.0231,0.0387,0.05603333333333334,0.06416666666666666,0.08643333333333335,0.09509999999999999,0.13856666666666667,0.17176666666666668,0.19186666666666669,0.20316666666666666,0.23113333333333336,0.2566666666666667,0.2764666666666667,0.2950666666666667,0.3104,0.31853333333333333,0.349,0.38299999999999995,0.4031666666666666,0.41929999999999995,0.4303,0.4413,0.44863333333333333,0.47203333333333325,0.5025,0.5161333333333332,0.5314666666666665,0.5662666666666667,0.5934666666666666,0.5934666666666666,0.6062666666666666,0.6403999999999999,0.6403999999999999
std,0.030156812386811272,0.04410102039635817,0.05241723635090529,0.05218657175562444,0.0674381380906665,0.07761762081981381,0.12241480282472902,0.12755614111363855,0.132032188368716,0.1335001965134726,0.13932847767544876,0.15001333274079343,0.13116385003329062,0.125060755605396,0.14293707499248545,0.1458870017648955,0.14810056643300787,0.16182279593416565,0.17254802516300882,0.1784659216354349,0.16495614456463764,0.15377428143103003,0.15992331881634575,0.13566101999350813,0.14213740960731117,0.1349084005657538,0.15264476634119503,0.17245251985673704,0.191479180443227,0.191479180443227,0.19337373779584394,0.2215581633636784,0.2215581633636784
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.125,0.18,0.18,0.19,0.19,0.19,0.27,0.34500000000000003,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
25%,0.0,0.0,0.0,0.008333333333333333,0.013750000000000002,0.013750000000000002,0.013750000000000002,0.06791666666666668,0.08291666666666668,0.08291666666666668,0.11025000000000001,0.129,0.15583333333333335,0.16975,0.16975,0.18175,0.26425,0.26425,0.26425,0.26425,0.3055,0.34675,0.34675,0.364,0.385,0.4,0.4,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.42300000000000004,0.43600000000000005,0.43600000000000005
50%,0.0,0.027500000000000004,0.059500000000000004,0.07550000000000001,0.10266666666666667,0.10266666666666667,0.128,0.184,0.202,0.21200000000000002,0.2846666666666667,0.30466666666666664,0.31,0.35933333333333334,0.36,0.36,0.38466666666666666,0.40399999999999997,0.40399999999999997,0.42799999999999994,0.42799999999999994,0.42799999999999994,0.42799999999999994,0.44999999999999996,0.49399999999999994,0.49399999999999994,0.49399999999999994,0.516,0.5619999999999999,0.5619999999999999,0.5619999999999999,0.58,0.58
75%,0.053250000000000006,0.063,0.10800000000000001,0.112,0.14600000000000002,0.171,0.24766666666666665,0.277,0.28200000000000003,0.31033333333333335,0.319,0.3676666666666667,0.3676666666666667,0.372,0.3883333333333333,0.4133333333333333,0.428,0.49833333333333335,0.5033333333333333,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.6466666666666667,0.6949999999999998,0.7750000000000001,0.7750000000000001,0.795,0.8416666666666667,0.8416666666666667
max,0.064,0.112,0.12000000000000001,0.12000000000000001,0.16,0.18666666666666668,0.29333333333333333,0.36,0.3666666666666667,0.3666666666666667,0.3933333333333333,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.52,0.52,0.5333333333333333,0.64,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7733333333333334,0.7733333333333334,0.7733333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.9533333333333334,0.9533333333333334
