,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,45,40.05,40.05,40.05,40.05,40.05,37.8,30.599999999999998,30.599999999999998,25.199999999999996,25.199999999999996,25.199999999999996,14.849999999999996,14.849999999999996,14.849999999999996,14.849999999999996,14.849999999999996,4.949999999999996,-2.2500000000000044
1,45,45.0,45.0,40.95,40.95,38.7,36.45,29.250000000000004,29.250000000000004,29.250000000000004,29.250000000000004,29.250000000000004,29.250000000000004,29.250000000000004,23.85,23.85,23.85,23.85,13.500000000000002
2,70,63.28,58.24,58.24,58.24,53.2,53.2,53.2,53.2,53.2,51.1,49.0,46.9,46.9,44.8,44.8,44.8,44.8,44.8
3,60,53.58,53.58,53.58,48.78,48.78,48.78,48.78,42.0,40.02,40.02,40.02,38.040000000000006,38.040000000000006,34.440000000000005,34.440000000000005,34.440000000000005,30.060000000000006,30.060000000000006
4,70,70.0,66.22,66.22,66.22,66.22,66.22,56.56,49.42,49.42,49.42,42.28,42.28,42.28,42.28,32.620000000000005,32.620000000000005,32.620000000000005,32.620000000000005
5,45,45.0,45.0,45.0,45.0,40.95,40.95,40.95,40.95,40.95,40.95,30.6,22.950000000000003,22.950000000000003,22.950000000000003,22.950000000000003,22.950000000000003,15.750000000000004,15.750000000000004
6,60,60.0,60.0,60.0,58.02,58.02,58.02,51.24,51.24,51.24,44.46,44.46,44.46,44.46,40.86,40.86,40.86,36.48,36.48
7,60,60.0,55.2,55.2,55.2,50.400000000000006,50.400000000000006,50.400000000000006,46.02,46.02,44.040000000000006,42.06000000000001,42.06000000000001,42.06000000000001,42.06000000000001,42.06000000000001,40.08000000000001,40.08000000000001,40.08000000000001
8,60,55.2,55.2,55.2,55.2,55.2,55.2,55.2,48.78,45.18,45.18,45.18,45.18,36.36,36.36,36.36,36.36,36.36,29.939999999999998
9,70,70.0,70.0,62.86,62.86,60.76,58.66,58.66,58.66,54.879999999999995,54.879999999999995,54.879999999999995,54.879999999999995,45.63999999999999,45.63999999999999,45.63999999999999,40.599999999999994,40.599999999999994,40.599999999999994
