,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,58.5,56.21099999999999,54.849000000000004,53.73,53.052,51.227999999999994,50.568000000000005,47.484,45.012,43.536,42.45,40.293,38.08500000000001,36.27900000000001,34.809000000000005,33.843,33.141,30.554999999999996,28.158000000000005
std,10.287532908007309,10.432066430003214,9.497115877991593,9.006405128203669,9.000076295972905,9.283377977151778,9.732257703123155,10.456351817595529,9.477821831342192,9.912246297720143,9.260950275214741,9.313579154474752,12.16163023611555,10.677980926498543,10.665505613893792,10.3463434764816,9.639976313940473,12.416931317090118,14.769765513823614
min,45.0,40.05,40.05,40.05,40.05,38.7,36.45,29.250000000000004,29.250000000000004,25.199999999999996,25.199999999999996,25.199999999999996,14.849999999999996,14.849999999999996,14.849999999999996,14.849999999999996,14.849999999999996,4.949999999999996,-2.2500000000000044
25%,48.75,47.144999999999996,47.144999999999996,47.144999999999996,45.945,42.9075,42.9075,42.9075,41.212500000000006,40.2525,40.2525,32.955000000000005,31.447500000000005,31.027500000000003,26.497500000000002,26.042500000000004,26.042500000000004,25.402500000000003,19.297500000000003
50%,60.0,57.6,55.2,55.2,55.2,51.800000000000004,51.800000000000004,50.82000000000001,47.400000000000006,45.6,44.25,42.17,42.17,40.05000000000001,38.61,35.400000000000006,35.400000000000006,34.49,31.340000000000003
75%,67.5,62.46,59.56,59.56,58.185,57.315,57.315,54.7,50.785,50.785,48.36,45.0,45.0,43.915,42.225,41.760000000000005,40.47,39.18000000000001,39.18000000000001
max,70.0,70.0,70.0,66.22,66.22,66.22,66.22,58.66,58.66,54.879999999999995,54.879999999999995,54.879999999999995,54.879999999999995,46.9,45.63999999999999,45.63999999999999,44.8,44.8,44.8
