,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,600.0,600.0,600.0
1,0.0,100.0,100.0,100.0,100.0,500.0,500.0,500.0,500.0,500.0,500.0,800.0,800.0
2,0.0,0.0,100.0,100.0,100.0,100.0,100.0,200.0,300.0,300.0,300.0,500.0,500.0
3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,500.0,500.0,800.0,800.0
4,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,300.0,600.0,700.0,700.0
5,100.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,700.0,700.0,700.0,700.0,700.0
6,100.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
7,100.0,100.0,100.0,100.0,400.00000000000006,400.00000000000006,400.00000000000006,400.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006
8,0.0,0.0,0.0,100.0,100.0,100.0,500.0,500.0,500.0,600.0,900.0,900.0,900.0
9,0.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,700.0,700.0,700.0,700.0
