,0
0,0.2
1,0.8
2,0.8
3,0.6
4,0.8
5,0.6
6,0.4
7,0.5
8,0.3
9,0.6
10,0.6
11,0.2
12,0.8
13,0.9
14,0.9
15,0.7
16,0.7
