,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,45,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,40.05,37.8,37.8,33.75,33.75,33.75,23.85,23.85,23.85,23.85,23.85,13.950000000000001,13.950000000000001,13.950000000000001,13.950000000000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,35.1,35.1,35.1,35.1,35.1,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,27.900000000000002,20.700000000000003,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002,10.800000000000002
2,70,63.28,58.24,58.24,58.24,53.2,51.1,43.96,43.96,43.96,36.82,36.82,36.82,36.82,33.04,33.04,33.04,28.419999999999998,28.419999999999998,28.419999999999998,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,18.34,9.1
3,60,60.0,56.4,52.8,52.8,50.82,48.84,42.42,42.42,42.42,42.42,42.42,42.42,42.42,37.620000000000005,37.620000000000005,37.620000000000005,37.620000000000005,28.440000000000005,28.440000000000005,28.440000000000005,28.440000000000005,28.440000000000005,24.060000000000006,24.060000000000006,24.060000000000006,24.060000000000006,19.260000000000005,19.260000000000005,19.260000000000005,19.260000000000005,14.460000000000004,5.640000000000004
4,70,63.28,63.28,63.28,58.24,58.24,58.24,58.24,51.1,47.32,47.32,47.32,47.32,38.08,38.08,38.08,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,33.04,28.0,28.0,18.759999999999998,9.099999999999998,9.099999999999998,9.099999999999998,9.099999999999998
5,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,42.75,40.5,38.25,36.0,36.0,33.75,33.75,33.75,33.75,33.75,28.8,28.8,18.9,18.9,18.9,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998
6,60,60.0,60.0,60.0,58.02,54.42,54.42,45.24,38.46,38.46,38.46,36.480000000000004,36.480000000000004,36.480000000000004,36.480000000000004,36.480000000000004,34.50000000000001,28.080000000000005,21.660000000000004,21.660000000000004,21.660000000000004,21.660000000000004,21.660000000000004,21.660000000000004,21.660000000000004,21.660000000000004,19.680000000000003,15.300000000000004,8.880000000000004,8.880000000000004,8.880000000000004,8.880000000000004,8.880000000000004
7,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,53.58,49.98,49.98,40.8,34.019999999999996,34.019999999999996,34.019999999999996,34.019999999999996,34.019999999999996,34.019999999999996,34.019999999999996,34.019999999999996,27.239999999999995,27.239999999999995,27.239999999999995,27.239999999999995,27.239999999999995,27.239999999999995,27.239999999999995,27.239999999999995,18.059999999999995,9.239999999999995,9.239999999999995,9.239999999999995,2.819999999999995
8,60,60.0,60.0,53.22,53.22,51.24,49.260000000000005,42.84,42.84,38.040000000000006,38.040000000000006,38.040000000000006,38.040000000000006,38.040000000000006,38.040000000000006,28.860000000000007,28.860000000000007,28.860000000000007,28.860000000000007,20.040000000000006,20.040000000000006,20.040000000000006,20.040000000000006,20.040000000000006,20.040000000000006,13.620000000000006,13.620000000000006,13.620000000000006,13.620000000000006,11.640000000000006,11.640000000000006,11.640000000000006,11.640000000000006
9,70,64.96,59.919999999999995,59.919999999999995,59.919999999999995,54.879999999999995,54.879999999999995,54.879999999999995,50.26,50.26,48.16,41.019999999999996,31.359999999999996,31.359999999999996,31.359999999999996,31.359999999999996,31.359999999999996,26.739999999999995,26.739999999999995,26.739999999999995,26.739999999999995,26.739999999999995,26.739999999999995,26.739999999999995,22.119999999999994,12.879999999999994,12.879999999999994,12.879999999999994,12.879999999999994,12.879999999999994,12.879999999999994,12.879999999999994,12.879999999999994
