,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.7,5.341500000000001,5.275500000000001,5.2095,5.0760000000000005,5.0025,4.870500000000001,4.6725,4.495500000000001,4.2524999999999995,4.1055,3.9795000000000003,3.6645000000000003,3.591,3.561,3.525,3.4214999999999995,3.3194999999999992,3.054,2.9204999999999997,2.694,2.568,2.424,2.2589999999999995,2.0189999999999997
std,1.1105554165971787,0.9040957729503367,0.9275608695210611,0.9558604326295063,0.8461934373022124,0.7588560469548885,0.8826678310667043,0.9788577526893271,0.9410999769772957,0.8808305739471126,0.8637915450693722,0.8192898347552795,0.7934644499492927,0.6560182924278868,0.6314744650419368,0.6278534860936908,0.6331449281167782,0.6521138704244837,0.5922640177038166,0.5881489323858939,0.6565389046608995,0.6242782499281339,0.6630560559510285,0.6998999928561226,0.995737582565474
min,4.5,4.5,4.14,4.14,4.14,4.14,3.42,3.06,3.06,3.06,3.06,3.06,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,1.9800000000000002,1.9800000000000002,1.7499999999999993,1.7499999999999993,1.2600000000000002,1.2249999999999985,0.1749999999999985
25%,4.5,4.5,4.5,4.5,4.5,4.5,4.275,4.14,4.14,3.645,3.465,3.465,3.1912499999999997,3.1912499999999997,3.1912499999999997,3.1912499999999997,3.0737499999999995,2.7900000000000005,2.7750000000000004,2.4299999999999997,2.291249999999999,2.05375,1.9187499999999995,1.7624999999999995,1.395
50%,6.0,5.1,5.1,5.1,4.8,4.8,4.8,4.35,4.35,4.1,3.96,3.78,3.69,3.69,3.69,3.51,3.51,3.3575,3.0874999999999995,3.057499999999999,2.55,2.52,2.52,2.52,2.52
75%,6.75,5.9875,5.8875,5.8125,5.8125,5.497499999999999,5.422499999999999,5.347499999999999,4.79875,4.7250000000000005,4.495,4.200000000000001,4.095000000000001,4.095000000000001,3.87,3.87,3.87,3.7350000000000003,3.5574999999999997,3.253750000000001,3.25375,3.0862499999999993,2.9250000000000007,2.700000000000001,2.700000000000001
max,7.0,7.0,7.0,7.0,6.265,6.265,6.265,6.265,5.95,5.949999999999999,5.949999999999999,5.949999999999999,5.214999999999999,4.479999999999999,4.479999999999999,4.479999999999999,4.200000000000001,4.200000000000001,3.78,3.78,3.78,3.42,3.3000000000000007,3.1149999999999984,3.1149999999999984
