,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,7.0,7.0,7.0,7.0,6.265,6.265,6.265,6.265,5.949999999999999,5.949999999999999,5.949999999999999,5.949999999999999,5.214999999999999,4.479999999999999,4.479999999999999,4.479999999999999,4.164999999999998,4.164999999999998,3.4299999999999984,3.1149999999999984,3.1149999999999984,3.1149999999999984,3.1149999999999984,3.1149999999999984,3.1149999999999984
1,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.14,4.14,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.42,2.7,2.7,2.7
2,4.5,4.5,4.5,4.14,4.14,4.14,3.42,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,2.34,2.34,2.34,2.34,2.34,2.34
3,7.0,6.265,6.265,6.265,6.265,5.529999999999999,5.529999999999999,5.529999999999999,4.794999999999999,4.059999999999999,3.324999999999999,3.324999999999999,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,2.2749999999999986,1.2249999999999985,0.1749999999999985
4,4.5,4.5,4.14,4.14,4.14,4.14,4.14,4.14,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,2.7,2.7,1.9800000000000002,1.9800000000000002,1.9800000000000002,1.9800000000000002,1.2600000000000002,1.2600000000000002,1.2600000000000002
5,7.0,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.215,4.4799999999999995,4.4799999999999995,3.1149999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,3.1149999999999993,1.7499999999999993,1.7499999999999993,1.7499999999999993,1.7499999999999993,0.6999999999999993
6,6.0,6.0,5.7,5.4,5.4,5.4,5.1000000000000005,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,3.600000000000001,3.300000000000001,3.300000000000001,3.0000000000000013,3.0000000000000013,2.7000000000000015,2.7000000000000015
7,6.0,5.1,5.1,5.1,4.5,4.5,4.2,4.2,4.2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.0,3.0,2.4,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998
8,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.14,4.14,4.14,4.14,3.78,3.78,3.78,3.78,3.42,3.42,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
9,6.0,5.1,5.1,5.1,5.1,5.1,5.1,4.5,4.5,4.5,4.5,4.2,4.2,4.2,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.6000000000000005,3.6000000000000005,3.6000000000000005,3.3000000000000007,3.3000000000000007,3.3000000000000007,3.000000000000001,2.700000000000001
