,0
0,0.6
1,0.8
2,0.8
3,0.8
4,0.9
5,0.7
6,0.5
7,0.7
8,0.6
9,0.8
10,0.7
11,0.7
12,0.9
13,0.9
14,0.9
15,0.8
16,0.8
17,0.6
18,0.7
19,0.7
20,0.7
21,0.8
22,0.7
23,0.7
