,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.0,100.0,200.0,200.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,600.0,700.0,700.0,1000.0,1000.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1200.0,1200.0,1200.0,1200.0,1300.0,1300.0,1300.0,1400.0,1400.0,1400.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,400.0,500.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,800.0,800.0,1000.0,1000.0,1100.0,1100.0,1100.0
2,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,600.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,1100.0,1100.0,1100.0,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1500.0,1600.0,1600.0,1600.0,1600.0,1700.0,1700.0
3,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,500.00000000000006,500.00000000000006,500.00000000000006,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,800.0,1000.0,1000.0,1200.0,1200.0,1200.0,1500.0,1500.0,1700.0,1700.0,1700.0,1700.0,1700.0,1800.0,1800.0
4,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,600.0,800.0,800.0,800.0,800.0,900.0,900.0,900.0,900.0,1200.0,1200.0
5,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,700.0,700.0,700.0,700.0,700.0,700.0,700.0,800.0,800.0,1000.0,1000.0,1000.0,1000.0,1200.0,1200.0,1200.0,1300.0,1300.0,1400.0,1400.0,1400.0,1400.0,1500.0,1500.0,1700.0,1700.0,1700.0
6,0.0,0.0,0.0,200.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,600.0,900.0,900.0,1000.0,1100.0,1100.0,1100.0,1300.0,1500.0,1500.0,1500.0,1600.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1700.0,1700.0
7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,400.00000000000006,400.00000000000006,400.00000000000006,700.0000000000001,700.0000000000001,800.0000000000001,800.0000000000001,800.0000000000001,800.0000000000001,800.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,900.0000000000001,1300.0,1300.0,1300.0,1300.0
8,300.00000000000006,300.00000000000006,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,700.0000000000001,800.0000000000001,900.0000000000001,900.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1100.0,1100.0,1100.0,1100.0,1100.0,1200.0,1200.0,1200.0,1200.0,1300.0,1300.0,1300.0,1300.0
9,0.0,0.0,0.0,0.0,0.0,300.00000000000006,300.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,500.00000000000006,600.0,600.0,600.0,600.0,600.0,600.0,600.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
