,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,16.800000000000004,20.04,23.28,29.28,31.68,38.160000000000004,47.879999999999995,54.35999999999999,64.2,69.0,75.84,86.63999999999999,89.03999999999999,90.83999999999999,92.28,96.36,101.03999999999999,113.52000000000001,119.4,129.6,136.44,142.2,149.4,158.4,158.4
std,23.289482604815422,21.6521592456734,21.06902940336835,27.083278974304424,27.621440947206214,31.94395091406196,33.56402836371105,31.220762322531463,38.20471175130105,41.34247210799083,42.35015938576855,48.5363369033964,47.658115783148624,48.78048790243903,46.92274501774166,44.217824460278464,42.864624108931594,47.907243711155,46.71359545143149,56.74645363368535,62.20495157139824,56.49849555519155,60.755905062800274,68.06820109272758,68.06820109272758
min,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4,14.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,43.2,72.0,72.0,72.0,72.0
25%,0.0,0.0,3.6,14.4,14.4,16.8,16.8,36.0,37.8,37.8,37.8,46.800000000000004,46.800000000000004,46.800000000000004,46.800000000000004,61.2,72.0,79.2,90.00000000000001,90.00000000000001,90.00000000000001,97.20000000000002,97.20000000000002,97.20000000000002,97.20000000000002
50%,0.0,16.2,19.2,24.0,30.0,39.60000000000001,42.0,50.400000000000006,58.800000000000004,64.8,70.8,84.0,96.0,96.0,96.0,102.0,102.0,126.0,132.0,144.0,144.0,144.0,156.0,165.0,165.0
75%,33.00000000000001,33.00000000000001,36.00000000000001,36.00000000000001,45.0,52.5,68.4,72.0,85.5,88.5,108.0,126.0,126.0,130.5,130.5,130.5,141.0,144.0,153.0,162.0,175.5,175.5,189.0,211.5,211.5
max,54.00000000000001,54.00000000000001,54.00000000000001,90.0,90.0,108.0,108.0,108.0,144.0,144.0,144.0,156.0,156.0,156.0,156.0,156.0,156.0,180.0,180.0,216.0,252.0,252.0,252.0,252.0,252.0
