,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,36.0,36.0,36.0,36.0,60.0,84.0,84.0,84.0,96.0,96.0,120.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0
1,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,43.2,72.0,72.0,72.0,72.0
2,0.0,0.0,14.4,14.4,14.4,43.2,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,86.4,86.4,86.4,86.4,86.4,86.4,86.4
3,24.0,24.0,24.0,24.0,48.0,48.0,48.0,72.0,96.0,120.0,120.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,192.0,228.0,228.0
4,0.0,14.4,14.4,14.4,14.4,14.4,14.4,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,72.0,72.0,100.8,100.8,100.8,100.8,129.6,129.6,129.6,129.6
5,36.00000000000001,36.00000000000001,36.00000000000001,36.00000000000001,36.00000000000001,36.00000000000001,36.00000000000001,36.00000000000001,60.00000000000001,84.0,84.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,180.0,180.0,180.0,180.0,216.0,216.0
6,0.0,18.0,36.0,36.0,36.0,54.0,72.0,72.0,72.0,72.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,144.0,162.0,162.0,180.0,180.0,198.0,198.0,198.0
7,54.00000000000001,54.00000000000001,54.00000000000001,90.0,90.0,108.0,108.0,108.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,180.0,180.0,216.0,252.0,252.0,252.0,252.0,252.0
8,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4,14.4,28.8,28.8,28.8,28.8,43.2,43.2,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
9,54.00000000000001,54.00000000000001,54.00000000000001,54.00000000000001,54.00000000000001,54.00000000000001,90.0,90.0,90.0,90.0,108.0,108.0,108.0,126.0,126.0,126.0,144.0,144.0,144.0,162.0,162.0,162.0,180.0,198.0,198.0
