,1,2,3,4,5,6,7,8,9,10,11,12,13,14
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,60.0,57.84000000000001,52.470000000000006,49.77,49.050000000000004,48.18000000000001,45.269999999999996,40.35,36.6,32.25,28.320000000000004,25.529999999999998,22.109999999999996,20.009999999999998
std,0.0,3.4779304190854665,9.149262265341399,8.539847773818924,7.857798673928979,7.87807082984153,10.564516079783306,7.464917949984447,8.613942186943213,12.838418905768732,10.4146051293364,8.025521789890053,9.493208098424894,11.219670226882785
min,60.0,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,30.9,30.9,24.599999999999994,8.099999999999994,8.099999999999994,8.099999999999994,6.0,-1.5000000000000053
25%,60.0,54.599999999999994,46.125,43.875,43.875,43.65,37.199999999999996,35.099999999999994,31.124999999999996,28.424999999999997,23.474999999999998,23.474999999999998,17.25,15.524999999999997
50%,60.0,60.0,56.4,49.5,49.5,47.25,44.55,39.45,35.25,33.449999999999996,29.699999999999996,28.049999999999997,23.849999999999998,23.1
75%,60.0,60.0,60.0,58.2,52.8,51.974999999999994,51.974999999999994,47.475,42.824999999999996,38.1,37.425000000000004,30.075000000000003,28.275,27.525
max,60.0,60.0,60.0,60.0,60.0,60.0,60.0,49.5,49.5,49.5,39.0,35.4,35.4,35.4
